type,latency
GET,0.0017857551574707031
GET,0.0018210411071777344
GET,0.001795053482055664
GET,0.0022449493408203125
GET,0.0019540786743164062
GET,0.0020160675048828125
GET,0.0015110969543457031
GET,0.0019669532775878906
GET,0.0015442371368408203
GET,0.005734920501708984
GET,0.0023260116577148438
GET,0.0021011829376220703
GET,0.0022869110107421875
GET,0.0023779869079589844
GET,0.002312898635864258
GET,0.001461029052734375
GET,0.001993894577026367
GET,0.0033121109008789062
GET,0.002454042434692383
GET,0.0018961429595947266
GET,0.0024259090423583984
GET,0.001766204833984375
GET,0.0029151439666748047
GET,0.0024199485778808594
GET,0.0021009445190429688
GET,0.002148866653442383
GET,0.002218961715698242
GET,0.001867055892944336
GET,0.0016188621520996094
GET,0.0020830631256103516
GET,0.0021288394927978516
GET,0.0021140575408935547
GET,0.0024802684783935547
GET,0.0015439987182617188
GET,0.0021228790283203125
GET,0.0018930435180664062
GET,0.0017521381378173828
GET,0.002271890640258789
GET,0.0015590190887451172
GET,0.001909017562866211
GET,0.001889944076538086
GET,0.0018110275268554688
GET,0.0019502639770507812
GET,0.0017290115356445312
GET,0.002530813217163086
GET,0.0025670528411865234
GET,0.0018010139465332031
GET,0.0018010139465332031
GET,0.0016791820526123047
GET,0.001768350601196289
GET,0.0015568733215332031
GET,0.0016489028930664062
GET,0.00263214111328125
GET,0.0020630359649658203
GET,0.0023958683013916016
GET,0.002190113067626953
GET,0.001522064208984375
GET,0.002198934555053711
GET,0.0024068355560302734
GET,0.0017609596252441406
GET,0.0018339157104492188
GET,0.002418994903564453
GET,0.0020799636840820312
GET,0.0018551349639892578
GET,0.0018308162689208984
GET,0.002288818359375
GET,0.0022001266479492188
GET,0.002003908157348633
GET,0.0017652511596679688
GET,0.002778768539428711
GET,0.0014200210571289062
GET,0.0022711753845214844
GET,0.0024118423461914062
GET,0.002116680145263672
GET,0.0016880035400390625
GET,0.002978086471557617
GET,0.0013430118560791016
GET,0.0017271041870117188
GET,0.0020418167114257812
GET,0.001920938491821289
GET,0.003144979476928711
GET,0.0018796920776367188
GET,0.0018858909606933594
GET,0.0021851062774658203
GET,0.0022788047790527344
GET,0.001741170883178711
GET,0.0018761157989501953
GET,0.001753091812133789
GET,0.0031669139862060547
GET,0.0018260478973388672
GET,0.0026078224182128906
GET,0.0019500255584716797
GET,0.0025539398193359375
GET,0.0020580291748046875
GET,0.0023193359375
GET,0.0015778541564941406
GET,0.001798868179321289
GET,0.001901865005493164
GET,0.0021810531616210938
GET,0.0019838809967041016
GET,0.0017037391662597656
GET,0.0027818679809570312
GET,0.0016682147979736328
GET,0.0018181800842285156
GET,0.0017979145050048828
GET,0.0033981800079345703
GET,0.0019903182983398438
GET,0.0019180774688720703
GET,0.007071018218994141
GET,0.0014986991882324219
GET,0.0018630027770996094
GET,0.002028942108154297
GET,0.0017600059509277344
GET,0.0018219947814941406
GET,0.0022792816162109375
GET,0.002279996871948242
GET,0.001901865005493164
GET,0.0016880035400390625
GET,0.0021681785583496094
GET,0.0020210742950439453
GET,0.0017099380493164062
GET,0.0020241737365722656
GET,0.0016698837280273438
GET,0.002337217330932617
GET,0.001773834228515625
GET,0.0023970603942871094
GET,0.0022478103637695312
GET,0.0017957687377929688
GET,0.002128124237060547
GET,0.0019159317016601562
GET,0.002012014389038086
GET,0.0024809837341308594
GET,0.002482891082763672
GET,0.0022521018981933594
GET,0.0018842220306396484
GET,0.0027239322662353516
GET,0.00189208984375
GET,0.0018818378448486328
GET,0.002147197723388672
GET,0.0020439624786376953
GET,0.0016109943389892578
GET,0.0023169517517089844
GET,0.0015130043029785156
GET,0.001840829849243164
GET,0.0024340152740478516
GET,0.0021440982818603516
GET,0.0018701553344726562
GET,0.0018320083618164062
GET,0.0019109249114990234
GET,0.0018279552459716797
GET,0.0019271373748779297
GET,0.0019421577453613281
GET,0.0013630390167236328
GET,0.0019168853759765625
GET,0.0016522407531738281
GET,0.002402782440185547
GET,0.0020689964294433594
GET,0.0014209747314453125
GET,0.001497030258178711
GET,0.0016720294952392578
GET,0.001767873764038086
GET,0.0022351741790771484
